question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
For what does English syntax rely on auxiliary verbs?,http://en.wikipedia.org/wiki/English_language,medium,medium,medium,medium,"the expression of complex tenses, aspect and mood, as well as passive constructions, interrogatives and some negation.","the expression of complex tenses, aspect and mood, as well as passive constructions, interrogatives and some negation","the expression of complex tenses, aspect and mood, as well as passive constructions, interrogatives and some negation.","expression of tense, aspect, and mood"
Which language is regarded as the first world language?,http://en.wikipedia.org/wiki/English_language,medium,medium,medium,medium,Modern English,Modern English,Modern EnglishEnglish,Modern English
What is the earliest form of English called?,http://en.wikipedia.org/wiki/English_language,medium,easy,hard,medium,Old English or Anglo-Saxon,Old English or Anglo-Saxon,Old English or Anglo-Saxon,Old English or Anglo-Saxon
"Does the sentence ""he sent it to himself"" use a reflexive pronoun?",http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,Yes,Yes,Yes,Yes
"What do English grammatical rules require the sentence ""Know you him?"" to be?",http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,Do you know him?,Do you know him?,Do you know him?,Do you know him?
Which language is used as basis for the international languages of seafaring and Avaiation?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,English,English,English,English
When was Messi born?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,24 June 1987,24 June 1987,24 June 1987,24 June 1987
What is the name of Messi's mother?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,medium,medium,Celia Cuccittini,Celia Cuccittini,Celia Cuccittini,Celia Cuccittini
What is La Masia?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Barcelona's youth academy,It is Barcelona's youth academy,Barcelona's youth academy,Barcelon's youth academy
What deficiency was Messi diagnosed with as a child?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,growth hormone deficiency,growth hormone deficiency,growth hormone deficiency,growth hormone deficiency
On what day did Messi celebrate his 18th birthday?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,24 June 2005,24 June 2005,24 June 2005,24 June 2005
Where was Thiago born?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,Barcelona,Barcelona,Barcelona,Barcelona
Does Messi hold a Spain citizenship?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,Yes,Yes,Yes,Yes
What is tattoed on Messi's left calf?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,medium,medium,medium,Thiago's name and handprints,Thiago's name and footprints,Thiago's name and footprints,Thiago's name and footprints
Which is Barcelona's stadium? ,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Camp Nou,Camp Nou,Camp Nou,Camp Nou
Is English related to Frisian?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,Yes,Yes,Yes,Yes
Has English vocabulary been influenced by French?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,Yes,Yes,Yes,Yes
How old is English?,http://en.wikipedia.org/wiki/English_language,hard,medium,medium,hard,"more than 1,400 years","More than 1,400 years old",More than 1400 years,More than 1400 years
Is the English language a Germanic language?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,Yes,Yes,Yes,Yes
Is Old English similar to Modern English?,http://en.wikipedia.org/wiki/English_language,medium,easy,easy,easy,No,No,No,No
Are all syllables stressed in English?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,No,No,No,No
What is a stress-timed language?,http://en.wikipedia.org/wiki/English_language,medium,hard,hard,hard,The amount of time between stressed syllables tends to be equal,The amount of time between stressed syllables tends to be equal,The amount of time between stressed syllables tends to be equal,The amount of time between stressed syllables tend to be equal
Modern English grammar is the result of which gradual change?,http://en.wikipedia.org/wiki/English_language,easy,medium,medium,medium,"from a typical Indo-European dependent marking pattern with a rich inflectional morphology and relatively free word order, to a mostly analytic pattern with little inflection, a fairly fixed SVO word order and a complex syntax","from a typical Indo-European dependent marking pattern with a rich inflectional morphology and relatively free word order, to a mostly analytic pattern with little inflection, a fairly fixed SVO word order and a complex syntax.","from a typical Indo-European dependent marking pattern with a rich inflectional morphology and relatively free word order, to a mostly analytic pattern with little inflection, a fairly fixed SVO word order and a complex syntax.","From a typical Indo-European dependent marking pattern with a rich inflectional morphology and relatively free word order to a mostly analytic pattern with little inflection, a fairly fixed SVO word order and a complex syntax"
What are some examples of auxiliary verbs in English?,http://en.wikipedia.org/wiki/English_language,medium,medium,medium,medium,have and do,have and do,have and do,have and do
What is the maximum number of goals scored by Messi in a Campions League match?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,five,five,five,five
Who is Argentina's all time leading goal scorer?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Messi,Messi,Messi,Gabriel Batistuta
Why did Messi miss the start of La Liga?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,Due to issues regarding his legal status in the Royal Spanish Football Federation,"Due to issues regarding his legal 
status in the Royal Spanish Football Federation","Due to issues regarding his legal 
status in the Royal Spanish 
Football Federation",Due to issues regarding his legal status in the Spanish Football Federation
How many trophies did Barcelona win in 2009?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,6,6,6,6
Is Messi short?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,easy,easy,medium,Yes,Yes,Yes,Yes
Which medal did Messi win at the 2008 Summer Olympics?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,Olympic gold medal,Gold,Gold,Gold
"After Argentina's unsuccessful performance in the Copa AmÈrica, who replaced Batista? ",http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,Alejandro Sabella,Alejandro Sabella,Alejandro Sabella,Alejandro Sabella
Who is Messi's perceived career rival?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo
How does Messi celebrate his goals?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,medium,medium,medium,by looking up and pointing to the sky in tribute of his grandmother,looking up and pointing to the sky ,looking up and pointing to the sky in tribute of his grandmother,looking up and pointing to the sky
How many tweed suits were used for the inflation of Aunt Marge?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,easy,medium,thirty-eight,38,38,38
How was the Shrieking Shack built?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,hard,hard,hard,On a large hydraulic platform,On a large hydraulic platform,It was built on a large hydraulic platform with the help of the special effects department,It was built on a large hydraulic platform with the help of the special effects department
Did the Prisoner of Azkaban receive two Academy Award nominations?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,easy,easy,easy,yes,yes,Yes,Yes
Where was Harry's ride on Buckbeak over Hogwarts' Lake filmed?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,easy,easy,medium,Virginia Water Lake in Surrey,Virginia Water Lake,Virginia Water Lake,Virginia Water Lake in Surrey
When did principal photography begin?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,easy,easy,medium,24 February 2003,February 24 2003,37676,24 February 2003
Who assumed the role of Dumbledore after Richard Harris?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,medium,hard,Michael Gambon,Michael Gambon,Michael Gambon,Michael Gambon
Who is the headmaster of Hogwarts?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,medium,hard,easy,Albus Dumbledore,Albus Dumbledore,Dumbledore,Dumbledore
What did Harry and Hermione use to travel back in time?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,easy,easy,medium,Hermione's Time Turner,Hermione's Time Turner,Hermione's Time Turner,Hermione's Time Turner
"On the Hogwarts Express train, what spell did Remus Lupin use to repel the dementor?",http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,easy,easy,medium,Patronus Charm,Patronus Charm,Patronus Charm,Patronus Charm
Is Cristiano Ronaldo Portuguese?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,,easy,easy,easy,Yes,Yes,Yes,Yes
At what age did he make his senior international debut?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,easy,easy,easy,18,18,18,18
What team did Ronaldo play for from 1992 to 1995?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,easy,easy,easy,Andorinha,Andorinha,Andorinha,Andorinha
Did Ronaldo receive the PFA Players' Player of the Year award?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,medium,medium,medium,Yes,Yes,Yes,Yes
Was Ronaldo the first winger to win the European Golden Shoe?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,medium,hard,hard,medium,Yes,Yes,Yes,Yes
Does Ronaldo drink alcohol?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,medium,medium,medium,No,No,No,No
What was the name of the iPhone game Ronaldo launched in December 2011?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,medium,medium,medium,Heads Up with Cristiano,Heads Up with Cristiano,Heads Up with Cristiano,Heads Up with Cristiano
When was Ronaldo raised to the rank of Grand Office of the Order of Prince Harry?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,medium,easy,easy,hard,January 2014,January 1 2014,41640,January 2014
"During the 2014 World Cup, what kind of injury was Ronaldo suffering from?",http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,hard,hard,hard,patellar tendinitis and a related thigh injury,patellar tendinitis,He was suffering from patellar tendinitis,patellar tendinitis
Who is the director of this film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Easy,easy,easy,Alfonso Cuaron,Alfonso Cuaron,Alfonso CuarÛn,Alfonso CuarÛn
When was the film released?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Easy,easy,easy,31 May 2004,31-May-04,31 May 2004,31 May 2004
Is Ron Weasley Harry's best friend?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Easy,hard,hard,Yes,Yes,Yes (this might be a bit hard to extract),Yes
What is the name of a school that Harry attends?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard/impossible?,Medium,medium,medium,Hogwarts,Hogwarts,Hogwarts,Hogwarts
What attacked Harry during the Quidditch game?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Medium,medium,medium,dementor,dementor,The dementors,dementors
Who is Harry's godfather?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Medium,medium,medium,Sirius,Sirius,Sirius Black,Sirius Black
Is Harry a senior in this film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Impossible,Hard,impossible,hard,No,No,No,No
What's the name of an author of this book?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Hard,easy,medium,J. K. Rowling,J. K. Rowling,J. K. Rowling,J. K. Rowling
What's the revenue of this film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Hard,hard,medium,$796 million,$796 million,$796.7 million,$796.7 million
What year was he born? ,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,Easy,easy,easy,1985,1985,5 February 1985,5 February 1985
What is his position in his soccer team?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,medium,Easy,medium,medium,Forward,Forward,His position is forward.,forward
What city was he born in ?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,Easy,easy,easy,S„o Pedro in Madeira,Madeira,Funchal,S„o Pedro parish of Funchal
Does he have a younger sister?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,Medium,medium,medium,No,No,No,no
When did he make debut in the Premier League?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,easy,Medium,medium,medium,16 August 2003,16-Aug-03,16 August 2003,16 August 2003
Was he a good student at school in Portugal?,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,hard,Medium,medium,hard,No,No,No,no
